micro_hab_data_tbl_id,location_table_id,transect_code,fish_data_id,date,count,species,fl_mm,dist_to_bottom,depth,focal_velocity,velocity,surface_turbidity,percent_fine_substrate,percent_sand_substrate,percent_small_gravel_substrate,percent_large_gravel_substrate,percent_cobble_substrate,percent_boulder_substrate,percent_no_cover_inchannel,percent_small_woody_cover_inchannel,percent_large_woody_cover_inchannel,percent_submerged_aquatic_veg_inchannel,percent_undercut_bank,percent_no_cover_overhead,percent_cover_half_meter_overhead,percent_cover_more_than_half_meter_overhead,channel_geomorphic_unit
26,11,6.1,28,2001-03-14,20,steelhead trout (wild),25,0.5,10,0.75,0.75,0,40,0,40,20,0,0,50,10,0,40,0,75,25,0,glide edgewater
27,11,6.2,29,2001-03-14,25,chinook salmon,35,1.5,19,1.42,0.89,10,0,60,30,10,0,0,100,0,0,0,0,100,0,0,glide edgewater
27,11,6.2,30,2001-03-14,2,chinook salmon,50,1.5,19,1.42,0.89,10,0,60,30,10,0,0,100,0,0,0,0,100,0,0,glide edgewater
28,11,6.3,24,2001-03-14,2,chinook salmon,35,0.5,19,0.73000002,0.75,20,0,30,50,20,0,0,100,0,0,0,0,100,0,0,glide
29,11,6.4,12,2001-03-14,1,steelhead trout (wild),25,1,37,0.63999999,0.91,30,0,65,25,10,0,0,100,0,0,0,0,100,0,0,glide
29,11,6.4,13,2001-03-14,50,chinook salmon,40,5,37,1.08,0.91,30,0,65,25,10,0,0,100,0,0,0,0,100,0,0,glide
29,11,6.4,14,2001-03-14,6,chinook salmon,75,5,37,0.80000001,0.91,30,0,65,25,10,0,0,100,0,0,0,0,100,0,0,glide
29,11,6.4,26,2001-03-14,10,chinook salmon,40,1.5,37,0.94,0.91,30,0,65,25,10,0,0,100,0,0,0,0,100,0,0,glide
29,11,6.4,27,2001-03-14,20,chinook salmon,35,1.5,37,0.94,0.91,30,0,65,25,10,0,0,100,0,0,0,0,100,0,0,glide
30,11,9.1,31,2001-03-14,35,steelhead trout (wild),25,1.5,16,0,0.18,0,0,80,20,0,0,0,90,10,0,0,0,50,50,0,glide edgewater
30,11,9.1,32,2001-03-14,250,chinook salmon,35,1.5,16,0,0.18,0,0,80,20,0,0,0,90,10,0,0,0,50,50,0,glide edgewater
31,11,9.2,NA,2001-03-14,NA,NA,NA,NA,14,NA,1.62,0,0,0,85,15,0,0,100,0,0,0,0,100,0,0,glide edgewater
32,11,9.3,NA,2001-03-14,NA,NA,NA,NA,15,NA,1.47,10,0,0,70,30,0,0,100,0,0,0,0,100,0,0,glide edgewater
33,11,9.4,15,2001-03-14,3,steelhead trout (wild),25,1,15,0.44,2.17,20,0,10,90,0,0,0,100,0,0,0,0,100,0,0,glide
34,11,12.1,33,2001-03-14,10,steelhead trout (wild),25,1.5,3,0,0,0,15,0,25,60,0,0,40,40,0,0,20,100,0,0,glide edgewater
34,11,12.1,50,2001-03-14,2,steelhead trout (wild),25,1,3,0,0,0,15,0,25,60,0,0,40,40,0,0,20,100,0,0,glide edgewater
35,11,12.2,NA,2001-03-14,NA,NA,NA,NA,7,NA,0.71,10,0,0,45,55,0,0,100,0,0,0,0,100,0,0,glide
36,11,12.3,NA,2001-03-14,NA,NA,NA,NA,9,NA,2.26,20,0,60,30,10,0,0,100,0,0,0,0,100,0,0,glide
37,11,12.4,16,2001-03-14,8,chinook salmon,50,1,19,0.18000001,1.01,30,0,40,60,0,0,0,100,0,0,0,0,100,0,0,glide
37,11,12.4,17,2001-03-14,15,chinook salmon,40,1,19,0.5,1.01,30,0,40,60,0,0,0,100,0,0,0,0,100,0,0,glide
37,11,12.4,18,2001-03-14,2,steelhead trout (wild),25,1,19,0.5,1.01,30,0,40,60,0,0,0,100,0,0,0,0,100,0,0,glide
38,11,15.1,34,2001-03-14,100,chinook salmon,35,2,28,0.51999998,0.37,10,0,60,20,20,0,0,90,10,0,0,0,100,0,0,glide edgewater
39,11,15.2,NA,2001-03-14,NA,NA,NA,NA,12,NA,0.67,10,0,30,60,10,0,0,100,0,0,0,0,100,0,0,glide edgewater
40,11,15.3,NA,2001-03-14,NA,NA,NA,NA,11,NA,1.44,10,0,25,60,15,0,0,100,0,0,0,0,100,0,0,glide
41,11,15.4,51,2001-03-14,100,chinook salmon,35,1,9,0,1.6,20,0,30,60,10,0,0,100,0,0,0,0,100,0,0,glide
42,11,18.1,38,2001-03-14,125,chinook salmon,45,1,11,0,0.44,0,0,90,0,10,0,0,70,15,NA,15,0,85,15,0,glide edgewater
42,11,18.1,39,2001-03-14,10,steelhead trout (wild),25,1,11,0,0.44,0,0,90,0,10,0,0,70,15,NA,15,0,85,15,0,glide edgewater
43,11,18.2,NA,2001-03-14,NA,NA,NA,NA,12,NA,0.4,0,0,70,10,20,0,0,100,0,0,0,0,100,0,0,glide edgewater
44,11,18.3,35,2001-03-14,150,chinook salmon,35,0.5,18,0.40000001,1,0,0,20,80,0,0,0,100,0,0,0,0,100,0,0,glide edgewater
45,11,18.4,19,2001-03-14,5,chinook salmon,45,1,23,0.5,0.78,10,0,15,70,15,0,0,100,0,0,0,0,100,0,0,glide edgewater
46,11,21.1,42,2001-03-14,5,steelhead trout (wild),25,1,8,0,0.32,0,0,25,60,15,0,0,100,0,0,0,0,65,35,0,glide edgewater
46,11,21.1,43,2001-03-14,100,chinook salmon,35,1.5,8,0,0.32,0,0,25,60,15,0,0,100,0,0,0,0,65,35,0,glide edgewater
46,11,21.1,44,2001-03-14,11,steelhead trout (wild),25,1.5,8,0,0.32,0,0,25,60,15,0,0,100,0,0,0,0,65,35,0,glide edgewater
47,11,21.2,NA,2001-03-14,NA,NA,NA,NA,13,NA,1.13,10,0,10,40,50,0,0,100,0,0,0,0,100,0,0,glide edgewater
48,11,21.3,36,2001-03-14,100,chinook salmon,40,1,17,0.75,0.75,15,0,20,60,20,0,0,100,0,0,0,0,100,0,0,glide
48,11,21.3,37,2001-03-14,150,chinook salmon,45,1,17,0.75,0.75,15,0,20,60,20,0,0,100,0,0,0,0,100,0,0,glide
49,11,21.4,NA,2001-03-14,NA,NA,NA,NA,18,NA,1.09,10,0,0,80,20,0,0,100,0,0,0,0,40,0,60,glide
50,11,24.1,45,2001-03-14,75,chinook salmon,40,1.5,23,0.23999999,0.37,0,0,30,30,40,0,0,80,0,0,0,20,0,30,70,glide edgewater
50,11,24.1,46,2001-03-14,45,chinook salmon,40,1.5,23,0.47,0.37,0,0,30,30,40,0,0,80,0,0,0,20,0,30,70,glide edgewater
50,11,24.1,47,2001-03-14,4,chinook salmon,55,1.5,23,0.47,0.37,0,0,30,30,40,0,0,80,0,0,0,20,0,30,70,glide edgewater
50,11,24.1,48,2001-03-14,50,chinook salmon,40,1,23,1.36,0.37,0,0,30,30,40,0,0,80,0,0,0,20,0,30,70,glide edgewater
50,11,24.1,49,2001-03-14,2,steelhead trout (wild),25,1,23,1.36,0.37,0,0,30,30,40,0,0,80,0,0,0,20,0,30,70,glide edgewater
51,11,24.2,NA,2001-03-14,NA,NA,NA,NA,18,NA,0.88,0,0,50,0,50,0,0,100,0,0,0,0,50,0,50,glide
52,11,24.3,NA,2001-03-14,NA,NA,NA,NA,16,NA,1.06,10,0,30,30,40,0,0,100,0,0,0,0,100,0,0,glide
53,11,24.4,20,2001-03-14,75,chinook salmon,45,5,13,0.37,1.88,10,0,0,85,15,0,0,90,0,0,10,0,100,0,0,glide
53,11,24.4,40,2001-03-14,1,chinook salmon,30,1,13,1.05,1.88,10,0,0,85,15,0,0,90,0,0,10,0,100,0,0,glide
53,11,24.4,41,2001-03-14,1,chinook salmon,35,1,13,0.98000002,1.88,10,0,0,85,15,0,0,90,0,0,10,0,100,0,0,glide
55,12,0.1,NA,2001-03-15,NA,NA,NA,NA,2,NA,0,0,0,10,70,20,0,0,50,0,0,50,0,100,0,0,glide edgewater
56,12,0.2,NA,2001-03-15,NA,NA,NA,NA,10,NA,0,0,0,0,10,80,0,10,50,0,0,50,0,100,0,0,glide edgewater
57,12,0.3,NA,2001-03-15,NA,NA,NA,NA,18,NA,0.2,0,0,0,25,50,25,0,30,10,0,60,0,100,0,0,glide edgewater
58,12,0.4,NA,2001-03-15,NA,NA,NA,NA,22,NA,0.33,0,0,0,50,25,25,0,100,0,0,0,0,100,0,0,glide edgewater
59,12,3.1,NA,2001-03-15,NA,NA,NA,NA,6,NA,0,0,0,0,60,40,0,0,60,30,0,10,0,100,0,0,glide edgewater
60,12,3.2,NA,2001-03-15,NA,NA,NA,NA,16,NA,0,0,0,0,10,20,70,0,40,50,0,10,0,100,0,0,glide edgewater
61,12,3.3,NA,2001-03-15,NA,NA,NA,NA,20,NA,0.19,0,0,0,25,50,25,0,90,0,0,10,0,100,0,0,glide edgewater
62,12,3.4,NA,2001-03-15,NA,NA,NA,NA,24,NA,0.34,0,0,0,60,25,15,0,100,0,0,0,0,100,0,0,glide edgewater
63,12,6.1,52,2001-03-15,1,steelhead trout (wild),25,5,6,0,0,0,0,0,80,20,0,0,60,0,0,40,0,40,60,0,glide edgewater
64,12,6.2,NA,2001-03-15,NA,NA,NA,NA,16,NA,0,0,0,0,90,10,0,0,75,10,0,15,0,100,0,0,glide edgewater
65,12,6.3,53,2001-03-15,20,chinook salmon,40,10,22,0,0,0,0,0,0,75,25,0,85,0,0,15,0,100,0,0,glide edgewater
66,12,6.4,NA,2001-03-15,NA,NA,NA,NA,30,NA,0.34,0,0,0,40,50,10,0,100,0,0,0,0,100,0,0,glide edgewater
67,12,9.1,NA,2001-03-15,NA,NA,NA,NA,11,NA,0,0,0,75,25,0,0,0,85,0,0,15,0,100,0,0,glide edgewater
68,12,9.2,NA,2001-03-15,NA,NA,NA,NA,22,NA,0,0,0,80,20,0,0,0,40,10,0,50,0,100,0,0,glide edgewater
69,12,9.3,NA,2001-03-15,NA,NA,NA,NA,33,NA,0,0,0,25,50,25,0,0,35,0,0,65,0,85,15,0,glide edgewater
70,12,9.4,NA,2001-03-15,NA,NA,NA,NA,43,NA,0,0,0,0,0,40,30,30,35,0,0,65,0,100,0,0,glide edgewater
71,12,12.1,NA,2001-03-15,NA,NA,NA,NA,6,NA,0,0,0,75,25,0,0,0,25,0,0,75,0,70,15,15,glide edgewater
72,12,12.2,NA,2001-03-15,NA,NA,NA,NA,24,NA,0,0,0,25,75,0,0,0,0,10,10,80,0,90,10,0,glide edgewater
73,12,12.3,NA,2001-03-15,NA,NA,NA,NA,43,NA,0,0,0,30,30,40,0,0,0,5,10,85,0,90,0,10,glide edgewater
74,12,12.4,54,2001-03-15,350,chinook salmon,40,5,50,0.2,0,0,0,20,70,10,0,0,0,70,0,30,0,30,0,70,glide edgewater
75,12,15.1,NA,2001-03-15,NA,NA,NA,NA,14,NA,0,0,20,80,0,0,0,0,40,20,0,40,0,100,0,0,glide edgewater
76,12,15.2,55,2001-03-15,300,chinook salmon,40,20,41,0,0,0,20,80,0,0,0,0,20,10,10,60,0,80,0,20,glide edgewater
76,12,15.2,56,2001-03-15,1,steelhead trout (wild),25,20,41,0,0,0,20,80,0,0,0,0,20,10,10,60,0,80,0,20,glide edgewater
77,12,15.3,NA,2001-03-15,NA,NA,NA,NA,51,NA,0.41,0,0,0,0,70,20,10,0,20,10,70,0,90,10,0,glide edgewater
78,12,15.4,NA,2001-03-15,NA,NA,NA,NA,67,NA,0.39,0,0,0,0,10,75,15,0,20,20,60,0,100,0,0,glide edgewater
79,13,0.1,NA,2001-08-20,NA,NA,NA,NA,9,NA,0.56,0,0,0,100,0,0,0,80,0,0,20,0,100,0,0,riffle edgewater
80,13,0.2,NA,2001-08-20,NA,NA,NA,NA,17,NA,1.08,0,0,0,10,0,0,90,80,10,0,10,0,100,0,0,riffle edgewater
81,13,0.3,NA,2001-08-20,NA,NA,NA,NA,27,NA,0.51,0,0,0,10,10,0,80,90,10,0,0,0,100,0,0,riffle edgewater
82,13,0.4,NA,2001-08-20,NA,NA,NA,NA,25,NA,0.32,0,0,0,10,0,20,70,100,0,0,0,0,100,0,0,riffle edgewater
83,13,3.1,NA,2001-08-20,NA,NA,NA,NA,28,NA,0,0,0,90,10,0,0,0,75,0,0,25,0,100,0,0,riffle edgewater
84,13,3.2,NA,2001-08-20,NA,NA,NA,NA,33,NA,0.5,0,0,0,0,90,10,0,100,0,0,0,0,100,0,0,riffle edgewater
85,13,3.3,NA,2001-08-20,NA,NA,NA,NA,34,NA,0.8,0,0,0,0,15,10,75,100,0,0,0,0,100,0,0,riffle edgewater
86,13,3.4,NA,2001-08-20,NA,NA,NA,NA,35,NA,0.37,0,0,0,0,25,75,0,100,0,0,0,0,100,0,0,riffle edgewater
87,13,6.1,NA,2001-08-20,NA,NA,NA,NA,23,NA,0,0,0,50,50,0,0,0,55,15,0,30,0,100,0,0,riffle edgewater
88,13,6.2,NA,2001-08-20,NA,NA,NA,NA,38,NA,0.91,0,0,0,0,80,20,0,90,10,0,0,0,100,0,0,riffle edgewater
89,13,6.3,NA,2001-08-20,NA,NA,NA,NA,23,NA,0.88,0,0,0,10,70,20,0,90,10,0,0,0,100,0,0,riffle edgewater
90,13,9.1,NA,2001-08-20,NA,NA,NA,NA,17,NA,0,0,0,10,0,0,0,90,60,10,0,30,0,100,0,0,riffle edgewater
91,13,9.2,NA,2001-08-20,NA,NA,NA,NA,46,NA,0.77,0,0,40,0,0,60,0,100,0,0,0,0,100,0,0,riffle edgewater
92,13,9.3,NA,2001-08-20,NA,NA,NA,NA,46,NA,0.78,10,0,0,20,80,0,0,100,0,0,0,0,100,0,0,riffle edgewater
93,13,9.4,NA,2001-08-20,NA,NA,NA,NA,54,NA,0.5,10,0,0,60,20,20,0,100,0,0,0,0,100,0,0,riffle edgewater
94,13,12.1,NA,2001-08-20,NA,NA,NA,NA,35,NA,0,0,0,40,10,0,0,50,75,25,0,0,0,25,0,75,riffle edgewater
95,13,12.2,NA,2001-08-20,NA,NA,NA,NA,46,NA,0.88,0,0,0,0,90,10,0,100,0,0,0,0,10,50,40,riffle edgewater
96,13,12.3,NA,2001-08-20,NA,NA,NA,NA,53,NA,0.85,0,0,0,25,25,25,25,100,0,0,0,0,100,0,0,riffle edgewater
97,13,12.4,NA,2001-08-20,NA,NA,NA,NA,43,NA,0.5,0,0,0,0,50,0,50,100,0,0,0,0,100,0,0,riffle edgewater
98,13,15.1,NA,2001-08-20,NA,NA,NA,NA,59,NA,0.54,0,0,0,50,0,50,0,30,10,0,10,50,100,0,0,riffle edgewater
99,13,15.2,NA,2001-08-20,NA,NA,NA,NA,60,NA,0.94,10,0,0,0,30,20,50,90,0,0,10,0,100,0,0,riffle edgewater
100,13,15.3,NA,2001-08-20,NA,NA,NA,NA,61,NA,0.6,10,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle edgewater
101,13,15.4,NA,2001-08-20,NA,NA,NA,NA,63,NA,0.67,10,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle edgewater
102,13,18.1,NA,2001-08-20,NA,NA,NA,NA,39,NA,0,0,0,50,0,0,0,50,80,10,0,10,0,100,0,0,riffle edgewater
103,13,18.2,NA,2001-08-20,NA,NA,NA,NA,54,NA,0.29,0,0,0,25,0,25,50,100,0,0,0,0,100,0,0,riffle edgewater
104,13,18.3,NA,2001-08-20,NA,NA,NA,NA,64,NA,1.06,0,0,0,90,10,0,0,100,0,0,0,0,100,0,0,riffle edgewater
105,13,18.4,NA,2001-08-20,NA,NA,NA,NA,65,NA,0.91,10,0,0,75,25,0,0,100,0,0,0,0,100,0,0,riffle edgewater
106,13,21.1,NA,2001-08-20,NA,NA,NA,NA,28,NA,3.47,0,0,0,100,0,0,0,75,25,0,0,0,0,80,20,riffle edgewater
107,13,21.2,NA,2001-08-20,NA,NA,NA,NA,27,NA,2.45,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle edgewater
108,13,21.3,NA,2001-08-20,NA,NA,NA,NA,35,NA,2.24,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle
109,13,21.4,NA,2001-08-20,NA,NA,NA,NA,42,NA,2.55,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle
110,13,24.1,NA,2001-08-20,NA,NA,NA,NA,60,NA,0.68,0,0,0,0,50,0,50,75,25,0,0,0,50,50,0,riffle
111,13,24.2,NA,2001-08-20,NA,NA,NA,NA,62,NA,2.21,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle
112,13,24.3,NA,2001-08-20,NA,NA,NA,NA,30,NA,2.93,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle
113,13,24.4,NA,2001-08-20,NA,NA,NA,NA,25,NA,3.97,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle
114,14,0.1,NA,2001-08-20,NA,NA,NA,NA,10,NA,0.27,0,0,100,0,0,0,0,90,0,0,10,0,100,0,0,riffle edgewater
115,14,0.2,NA,2001-08-20,NA,NA,NA,NA,24,NA,0.77,0,0,0,90,10,0,0,100,0,0,0,0,100,0,0,riffle edgewater
116,14,0.3,59,2001-08-20,1,steelhead trout (wild),60,4,27,1.98,1,0,0,0,90,10,0,0,100,0,0,0,0,100,0,0,riffle
117,14,0.4,NA,2001-08-20,NA,NA,NA,NA,20,NA,1.98,0,0,75,0,25,0,0,90,0,0,10,0,100,0,0,riffle
118,14,3.1,NA,2001-08-20,NA,NA,NA,NA,7,NA,0,0,50,50,0,0,0,0,40,10,0,50,0,100,0,0,riffle edgewater
119,14,3.2,NA,2001-08-20,NA,NA,NA,NA,18,NA,0.41,0,50,50,0,0,0,0,100,0,0,0,0,100,0,0,riffle edgewater
120,14,3.3,NA,2001-08-20,NA,NA,NA,NA,30,NA,2.24,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle
121,14,3.4,NA,2001-08-20,NA,NA,NA,NA,20,NA,1.32,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle
122,14,6.1,NA,2001-08-20,NA,NA,NA,NA,8,NA,1.13,0,0,0,100,0,0,0,90,10,0,0,0,100,0,0,riffle edgewater
123,14,6.2,NA,2001-08-20,NA,NA,NA,NA,9,NA,0.56,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle edgewater
124,14,6.3,NA,2001-08-20,NA,NA,NA,NA,8,NA,1.88,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle edgewater
125,14,6.4,NA,2001-08-20,NA,NA,NA,NA,5,NA,2.5,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle edgewater
126,14,9.1,NA,2001-08-20,NA,NA,NA,NA,9,NA,0.23,0,0,0,100,0,0,0,25,25,0,50,0,90,10,0,riffle edgewater
127,14,9.2,NA,2001-08-20,NA,NA,NA,NA,4,NA,0.62,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle edgewater
128,14,9.3,NA,2001-08-20,NA,NA,NA,NA,3,NA,0.68,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle edgewater
129,14,9.4,NA,2001-08-20,NA,NA,NA,NA,2,NA,0,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle edgewater
130,14,12.1,NA,2001-08-20,NA,NA,NA,NA,9,NA,0,0,100,0,0,0,0,0,10,0,10,80,0,100,0,0,riffle edgewater
131,14,12.2,NA,2001-08-20,NA,NA,NA,NA,14,NA,0.24,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle edgewater
132,14,12.3,NA,2001-08-20,NA,NA,NA,NA,17,NA,0.75,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle edgewater
133,14,12.4,60,2001-08-20,10,steelhead trout (wild),65,4,24,0.75,0.75,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle edgewater
133,14,12.4,61,2001-08-20,7,chinook salmon,80,4,24,0.75,0.75,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle edgewater
134,14,15.1,NA,2001-08-20,NA,NA,NA,NA,7,NA,0,0,0,90,10,0,0,0,75,25,0,0,0,50,50,0,riffle edgewater
135,14,15.2,NA,2001-08-20,NA,NA,NA,NA,12,NA,0.68,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle edgewater
136,14,15.3,NA,2001-08-20,NA,NA,NA,NA,9,NA,1.5,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle edgewater
137,14,15.4,NA,2001-08-20,NA,NA,NA,NA,11,NA,2.08,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle edgewater
138,14,18.1,NA,2001-08-20,NA,NA,NA,NA,2,NA,0,0,50,0,50,0,0,0,20,0,0,80,0,80,20,0,riffle edgewater
139,14,18.2,NA,2001-08-20,NA,NA,NA,NA,3,NA,0,0,50,0,50,0,0,0,100,0,0,0,0,100,0,0,riffle edgewater
140,14,18.3,NA,2001-08-20,NA,NA,NA,NA,6,NA,0.24,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle edgewater
141,14,18.4,62,2001-08-20,3,steelhead trout (wild),50,5,20,1.27,1.27,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle edgewater
141,14,18.4,63,2001-08-20,1,steelhead trout (wild),80,4,20,1.27,1.27,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle edgewater
142,14,21.1,64,2001-08-20,1,steelhead trout (wild),45,5,21,0,0,0,25,0,75,0,0,0,100,0,0,0,0,70,30,0,riffle edgewater
143,14,21.2,NA,2001-08-20,NA,NA,NA,NA,16,NA,0.27,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle edgewater
144,14,21.3,NA,2001-08-20,NA,NA,NA,NA,12,NA,0.44,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle edgewater
145,14,21.4,NA,2001-08-20,NA,NA,NA,NA,11,NA,0.47,0,0,25,75,0,0,0,100,0,0,0,0,100,0,0,riffle edgewater
146,14,24.1,NA,2001-08-20,NA,NA,NA,NA,8,NA,0.6,0,0,75,25,0,0,0,90,10,0,0,0,50,50,0,riffle edgewater
147,14,24.2,NA,2001-08-20,NA,NA,NA,NA,9,NA,0.47,0,0,50,50,0,0,0,100,0,0,0,0,100,0,0,riffle edgewater
148,14,24.3,NA,2001-08-20,NA,NA,NA,NA,18,NA,0.8,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle edgewater
149,14,24.4,NA,2001-08-20,NA,NA,NA,NA,17,NA,1.06,0,0,0,100,0,0,0,90,10,0,0,0,100,0,0,riffle edgewater
150,15,0.1,NA,2001-08-20,NA,NA,NA,NA,13,NA,0.67,0,0,0,0,90,10,0,80,0,0,20,0,100,0,0,riffle edgewater
151,15,0.2,NA,2001-08-20,NA,NA,NA,NA,14,NA,1.13,0,0,0,0,75,25,0,75,25,0,0,0,100,0,0,riffle edgewater
152,15,0.3,NA,2001-08-20,NA,NA,NA,NA,16,NA,1.54,0,0,0,0,80,20,0,90,0,0,10,0,100,0,0,riffle edgewater
153,15,0.4,NA,2001-08-20,NA,NA,NA,NA,15,NA,1.47,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,riffle edgewater
154,15,3.1,NA,2001-08-20,NA,NA,NA,NA,11,NA,0.56,0,0,0,0,85,15,0,75,0,0,25,0,100,0,0,riffle edgewater
155,15,3.2,NA,2001-08-20,NA,NA,NA,NA,14,NA,0.37,0,0,0,0,90,10,0,100,0,0,0,0,100,0,0,riffle edgewater
156,15,3.3,NA,2001-08-20,NA,NA,NA,NA,14,NA,1.32,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,riffle edgewater
157,15,3.4,NA,2001-08-20,NA,NA,NA,NA,23,NA,1.5,0,0,0,0,80,20,0,100,0,0,0,0,100,0,0,riffle edgewater
158,15,6.1,NA,2001-08-20,NA,NA,NA,NA,13,NA,0,0,0,0,0,100,0,0,75,0,0,25,0,100,0,0,riffle edgewater
159,15,6.2,NA,2001-08-20,NA,NA,NA,NA,20,NA,0.44,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,riffle edgewater
160,15,6.3,NA,2001-08-20,NA,NA,NA,NA,30,NA,1.81,10,0,0,10,90,0,0,100,0,0,0,0,100,0,0,riffle edgewater
161,15,6.4,NA,2001-08-20,NA,NA,NA,NA,36,NA,0.93,10,0,0,0,60,40,0,100,0,0,0,0,100,0,0,riffle edgewater
162,15,9.1,NA,2001-08-20,NA,NA,NA,NA,10,NA,1.2,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,riffle edgewater
163,15,9.2,NA,2001-08-20,NA,NA,NA,NA,23,NA,1.37,10,0,0,0,80,10,10,100,0,0,0,0,100,0,0,riffle edgewater
164,15,9.3,NA,2001-08-20,NA,NA,NA,NA,26,NA,1.83,10,0,0,0,100,0,0,100,0,0,0,0,100,0,0,riffle edgewater
165,15,9.4,NA,2001-08-20,NA,NA,NA,NA,28,NA,1.73,10,0,0,0,100,0,0,100,0,0,0,0,100,0,0,riffle edgewater
166,15,12.1,NA,2001-08-20,NA,NA,NA,NA,13,NA,0.78,0,0,0,0,100,0,0,85,0,0,15,0,100,0,0,riffle edgewater
167,15,12.2,NA,2001-08-20,NA,NA,NA,NA,19,NA,2.02,0,0,0,0,80,10,10,100,0,0,0,0,100,0,0,riffle edgewater
168,15,12.3,NA,2001-08-20,NA,NA,NA,NA,22,NA,1.6,0,0,0,10,90,0,0,100,0,0,0,0,100,0,0,riffle edgewater
169,15,12.4,NA,2001-08-20,NA,NA,NA,NA,22,NA,1.62,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,riffle edgewater
170,15,15.1,NA,2001-08-20,NA,NA,NA,NA,9,NA,0,0,0,0,20,80,0,0,75,0,0,25,0,100,0,0,riffle edgewater
